file,label,title,item_id,marketplace,query,euro,image_url
unsorted__v1_197032954399_0.jpg,unsorted,"2 Euro Münze, Belgien, 2004, Drehprägung / Prägefehler ~15 Grad",v1|197032954399|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/5iEAAOSw6ppntLm7/s-l1600.jpg
unsorted__v1_206400086012_0.jpg,unsorted,FRANKREICH - 2001 Prägefehler 1 € Euro Kursmünze ,v1|206400086012|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/i7cAAeSwaIxoglOo/s-l1600.jpg
unsorted__v1_389711481637_0.jpg,unsorted,2 Euro Münze Frankreich 2001 RAR Liberte Egalite Fraternite PRÄGEFEHLER RAR,v1|389711481637|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/6nsAAeSwnahprB0E/s-l1600.jpg
unsorted__v1_404934200463_0.jpg,unsorted,Deutschland - 20 Euro Cent - 2006 W Prägefehler (Europa Karte) - sehr guter Zustand,v1|404934200463|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/kSgAAOSwb65mI8KU/s-l1600.jpg
unsorted__v1_389945548262_0.jpg,unsorted,Seltene 50 Cent Euro Münze Italien 2002 mit Prägefehler,v1|389945548262|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/HqkAAeSw8P5p79Q9/s-l1600.jpg
unsorted__v1_389945537540_0.jpg,unsorted,2002 Italien 50 Cent Euro seltene Münze mit Prägefehler,v1|389945537540|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/Ux0AAeSwpQZp79G0/s-l1600.jpg
unsorted__v1_225680283591_0.jpg,unsorted,Ireland 2 Cent Mint Error Rare Coin 2007 Europe Looks Like Bull Rarity Euro KM33,v1|225680283591|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/cUMAAOSwzw1kt~SI/s-l1600.jpg
unsorted__v1_405371726353_0.jpg,unsorted,Ein Euro 1999 seltener Liberti Egalit mit Prägefehlern. ,v1|405371726353|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/OjsAAOSwO5VnP2MB/s-l1600.jpg
unsorted__v1_226956113126_0.jpg,unsorted,1 Euro Fehler 2008 Portugal postfrisch geprüft MS66 alte Karte selten 1 Euro,v1|226956113126|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/OREAAOSw1WtjVSuI/s-l1600.jpg
unsorted__v1_297241359450_0.jpg,unsorted,Seltener Prägefehler 1999 5 Euro Cent ,v1|297241359450|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/JBcAAeSwaapoB5r6/s-l1600.jpg
unsorted__v1_127763557981_0.jpg,unsorted,2 Euro Münze Frankreich 2001 RAR Liberte Egalite Fraternite PRÄGEFEHLER RAR,v1|127763557981|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/RJEAAeSw-Qxpv~cx/s-l1600.jpg
unsorted__v1_376733025037_0.jpg,unsorted,"1 Euro Münze Leonardo da Vinci, Prägefehler, Italien 2002",v1|376733025037|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/l1AAAeSwBjtpJ0pK/s-l1600.jpg
unsorted__v1_147161901017_0.jpg,unsorted,2 Euro Cent echter Blanko Planchet Prägefehler - seltener unprägter Euro - volles Gewicht,v1|147161901017|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/iYsAAeSwwVtplxSm/s-l1600.jpg
unsorted__v1_187586858987_0.jpg,unsorted,"2002 50 Euro Cent Italien. Prägefehler, seltene Münze für Sammler.",v1|187586858987|0,EBAY_DE,euro coin mint error,True,https://i.ebayimg.com/images/g/uHIAAeSwkcZo0GK1/s-l1600.jpg
unsorted__v1_177142958325_0.jpg,unsorted,"Frankreich 2 Euro Bi-Metall Münze 1999 mit Fehler, gute Erhaltung",v1|177142958325|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/MUEAAOSw2r5oO0fi/s-l1600.jpg
unsorted__v1_197379184264_0.jpg,unsorted,"Seltene 2 Euro Fehlermünze, Finnland 1999",v1|197379184264|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/xDsAAOSwNmpoPCu0/s-l1600.jpg
unsorted__v1_326314501734_516028079032.jpg,unsorted,2 Euro Italien Italy Italia Gedenkmünze bis 2026 UNC Coincard PP Proof Auswahl,v1|326314501734|516028079032,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/hzgAAeSwUg1p-mO0/s-l1600.jpg
unsorted__v1_186855622661_0.jpg,unsorted,"2 Euro 2014 F Germany,  Bimetallic coin with rare error, Collectors item",v1|186855622661|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/n78AAOSwrCdnaaic/s-l1600.jpg
unsorted__v1_355976879441_0.jpg,unsorted,"Rare Minting Error 2 Euro € Coin 2016 Austria ""Österreichische Nationalbank""",v1|355976879441|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/pW4AAOSwzzNl0g6R/s-l1600.jpg
unsorted__v1_156864044569_0.jpg,unsorted,2 Euro € coin France 2000 mis centered error rare,v1|156864044569|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/EhUAAOSwTQ5n8l3B/s-l1600.jpg
unsorted__v1_377290215956_0.jpg,unsorted,Very Rare €2 Error Coin / Sehr Seltene 2€ Münze Mit Fehldruck,v1|377290215956|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/skQAAeSw1-hqOpW3/s-l1600.jpg
unsorted__v1_355976894553_0.jpg,unsorted,Rare Minting Error 2 Euro € Coin France 2000 Offset Or Misaligned Stars,v1|355976894553|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/H8QAAOSwvShl0hfZ/s-l1600.jpg
unsorted__v1_355482509446_0.jpg,unsorted,"Minting error 2 Euro € coin ""100 Jahre Republik Österreich"" Austria 2018",v1|355482509446|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/WVwAAOSwrJpl0grf/s-l1600.jpg
unsorted__v1_206327138552_0.jpg,unsorted,2 Euro Münze Frankreich 2001 sehr seltener Fehlstilfehler 2€,v1|206327138552|0,EBAY_DE,2 euro error coin,True,https://i.ebayimg.com/images/g/DQoAAOSwLAxheou4/s-l1600.jpg
